,연도,월,시도,주택가격변동률,사용량,위도,경도
0,2010,1,서울특별시,0.13,4398183,37.551638,126.993243
1,2010,2,서울특별시,0.23,4168168,37.551638,126.993243
2,2010,3,서울특별시,0.07,3624186,37.551638,126.993243
3,2010,4,서울특별시,-0.02,3719082,37.551638,126.993243
4,2010,5,서울특별시,-0.25,3426951,37.551638,126.993243
5,2010,6,서울특별시,-0.24,3729030,37.551638,126.993243
6,2010,7,서울특별시,-0.34,4219590,37.551638,126.993243
7,2010,8,서울특별시,-0.38,4646112,37.551638,126.993243
8,2010,9,서울특별시,-0.19,4296100,37.551638,126.993243
9,2010,10,서울특별시,-0.12,3441549,37.551638,126.993243
10,2010,11,서울특별시,-0.06,3603223,37.551638,126.993243
11,2010,12,서울특별시,0.03,4022925,37.551638,126.993243
12,2011,1,서울특별시,0.17,4562632,37.551638,126.993243
13,2011,2,서울특별시,0.23,4264449,37.551638,126.993243
14,2011,3,서울특별시,0.22,3736362,37.551638,126.993243
15,2011,4,서울특별시,0.14,3682652,37.551638,126.993243
16,2011,5,서울특별시,0.13,3425703,37.551638,126.993243
17,2011,6,서울특별시,-0.02,3713716,37.551638,126.993243
18,2011,7,서울특별시,-0.07,4049595,37.551638,126.993243
19,2011,8,서울특별시,0.12,4433093,37.551638,126.993243
20,2011,9,서울특별시,-0.02,4149017,37.551638,126.993243
21,2011,10,서울특별시,-0.01,3458466,37.551638,126.993243
22,2011,11,서울특별시,-0.08,3527460,37.551638,126.993243
23,2011,12,서울특별시,-0.12,3899848,37.551638,126.993243
24,2012,1,서울특별시,-0.16,4349335,37.551638,126.993243
25,2012,2,서울특별시,-0.14,4298788,37.551638,126.993243
26,2012,3,서울특별시,-0.33,3837539,37.551638,126.993243
27,2012,4,서울특별시,-0.48,3695515,37.551638,126.993243
28,2012,5,서울특별시,-0.39,3483656,37.551638,126.993243
29,2012,6,서울특별시,-0.5,3736558,37.551638,126.993243
30,2012,7,서울특별시,-0.46,4075847,37.551638,126.993243
31,2012,8,서울특별시,-0.61,4687134,37.551638,126.993243
32,2012,9,서울특별시,-0.49,4034771,37.551638,126.993243
33,2012,10,서울특별시,-0.42,3387032,37.551638,126.993243
34,2012,11,서울특별시,-0.37,3556636,37.551638,126.993243
35,2012,12,서울특별시,-0.49,4091294,37.551638,126.993243
36,2013,1,서울특별시,-0.51,4486310,37.551638,126.993243
37,2013,2,서울특별시,-0.31,4189413,37.551638,126.993243
38,2013,3,서울특별시,-0.08,3652776,37.551638,126.993243
39,2013,4,서울특별시,0.04,3638393,37.551638,126.993243
40,2013,5,서울특별시,0.15,3439856,37.551638,126.993243
41,2013,6,서울특별시,-0.24,3706936,37.551638,126.993243
42,2013,7,서울특별시,-0.43,4099931,37.551638,126.993243
43,2013,8,서울특별시,-0.41,4534870,37.551638,126.993243
44,2013,9,서울특별시,0.0,4064276,37.551638,126.993243
45,2013,10,서울특별시,0.33,3388520,37.551638,126.993243
46,2013,11,서울특별시,0.06,3462656,37.551638,126.993243
47,2013,12,서울특별시,-0.03,3891170,37.551638,126.993243
48,2014,1,서울특별시,0.23,4155574,37.551638,126.993243
49,2014,2,서울특별시,0.23,3974971,37.551638,126.993243
50,2014,3,서울특별시,0.22,3547923,37.551638,126.993243
51,2014,4,서울특별시,-0.01,3466188,37.551638,126.993243
52,2014,5,서울특별시,-0.07,3305028,37.551638,126.993243
53,2014,6,서울특별시,-0.07,3649218,37.551638,126.993243
54,2014,7,서울특별시,-0.04,4072242,37.551638,126.993243
55,2014,8,서울특별시,0.05,4260833,37.551638,126.993243
56,2014,9,서울특별시,0.25,3844677,37.551638,126.993243
57,2014,10,서울특별시,0.25,3396751,37.551638,126.993243
58,2014,11,서울특별시,0.1,3403955,37.551638,126.993243
59,2014,12,서울특별시,0.0,3941504,37.551638,126.993243
60,2015,1,서울특별시,0.09,4281117,37.551638,126.993243
61,2015,2,서울특별시,0.2,4023566,37.551638,126.993243
62,2015,3,서울특별시,0.36,3592926,37.551638,126.993243
63,2015,4,서울특별시,0.51,3512071,37.551638,126.993243
64,2015,5,서울특별시,0.44,3324249,37.551638,126.993243
65,2015,6,서울특별시,0.5,3637371,37.551638,126.993243
66,2015,7,서울특별시,0.38,3982172,37.551638,126.993243
67,2015,8,서울특별시,0.37,4471860,37.551638,126.993243
68,2015,9,서울특별시,0.45,4006650,37.551638,126.993243
69,2015,10,서울특별시,0.46,3375006,37.551638,126.993243
70,2015,11,서울특별시,0.46,3395776,37.551638,126.993243
71,2015,12,서울특별시,0.29,3778722,37.551638,126.993243
72,2016,1,서울특별시,0.05,4151770,37.551638,126.993243
73,2016,2,서울특별시,0.0,4174917,37.551638,126.993243
74,2016,3,서울특별시,0.01,3729909,37.551638,126.993243
75,2016,4,서울특별시,0.08,3457927,37.551638,126.993243
